from,to,phase_from,phase_to
EnergyControl.SetPower,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,WaveformViewer.Pause,Phase C,Phase C
WaveformViewer.Pause,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,LesionMap.MarkLesion,Phase C,Phase C
LesionMap.MarkLesion,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,WaveformViewer.Pause,Phase C,Phase C
WaveformViewer.Pause,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,LesionMap.MarkLesion,Phase C,Phase C
LesionMap.MarkLesion,LesionMap.MarkLesion,Phase C,Phase C
LesionMap.MarkLesion,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,WaveformViewer.Pause,Phase C,Phase C
WaveformViewer.Pause,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,EnergyControl.SetDuration,Phase C,Phase D
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,ContactSensor.CheckForce,Phase D,Phase D
ContactSensor.CheckForce,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,ValidationPanel.RunCheck,Phase D,Phase E
ValidationPanel.RunCheck,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,LesionMap.FinalReview,Phase E,Phase E
LesionMap.FinalReview,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,LesionMap.FinalReview,Phase E,Phase E
LesionMap.FinalReview,LesionMap.FinalReview,Phase E,Phase E
LesionMap.FinalReview,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,OutcomeTracker.Summary,Phase E,Phase E
OutcomeTracker.Summary,LesionMap.FinalReview,Phase E,Phase E
LesionMap.FinalReview,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,LesionMap.ConfirmComplete,Phase E,Phase E
LesionMap.ConfirmComplete,OutcomeTracker.Summary,Phase E,Phase E
OutcomeTracker.Summary,OutcomeTracker.Summary,Phase E,Phase E
OutcomeTracker.Summary,OutcomeTracker.ExportData,Phase E,Phase E
OutcomeTracker.ExportData,OutcomeTracker.ExportData,Phase E,Phase E
OutcomeTracker.ExportData,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,OutcomeTracker.Summary,Phase E,Phase E
OutcomeTracker.Summary,LesionMap.ConfirmComplete,Phase E,Phase E
LesionMap.ConfirmComplete,OutcomeTracker.Summary,Phase E,Phase E
OutcomeTracker.Summary,LesionMap.FinalReview,Phase E,Phase E
LesionMap.FinalReview,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,LesionMap.FinalReview,Phase E,Phase E
LesionMap.FinalReview,PatientRecord.Close,Phase E,Phase F
PatientRecord.Close,PatientRecord.Close,Phase F,Phase F
PatientRecord.Close,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,PatientRecord.Close,Phase F,Phase F
PatientRecord.Close,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,PatientRecord.Close,Phase F,Phase F
PatientRecord.Close,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,SystemCheck.Shutdown,Phase F,Phase F
SystemCheck.Shutdown,PatientRecord.Save,Phase F,Phase F
PatientRecord.Save,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.Export,Phase F,Phase F
ReportGenerator.Export,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.Export,Phase F,Phase F
ReportGenerator.Export,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.Export,Phase F,Phase F
ReportGenerator.Export,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.Export,Phase F,Phase F
ReportGenerator.Export,ReportGenerator.Export,Phase F,Phase F
ReportGenerator.Export,ReportGenerator.Export,Phase F,Phase F
ReportGenerator.Export,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,SystemCheck.Shutdown,Phase F,Phase F
SystemCheck.Shutdown,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,PatientRecord.Close,Phase F,Phase F
PatientRecord.Close,PatientRecord.Close,Phase F,Phase F
PatientRecord.Close,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,PatientRecord.Save,Phase F,Phase F
PatientRecord.Save,PatientRecord.Close,Phase F,Phase F
PatientRecord.Close,ReportGenerator.OpenTemplate,Phase F,Phase F
CatheterConfig.SelectType,CatheterConfig.SelectType,Phase A,Phase A
CatheterConfig.SelectType,SystemCheck.Confirm,Phase A,Phase A
SystemCheck.Confirm,PatientDemographics.Confirm,Phase A,Phase A
PatientDemographics.Confirm,ProcedureSetup.SelectProtocol,Phase A,Phase A
ProcedureSetup.SelectProtocol,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,SystemCheck.RunDiagnostics,Phase A,Phase A
SystemCheck.RunDiagnostics,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,SystemCheck.Confirm,Phase A,Phase A
SystemCheck.Confirm,PatientDemographics.Confirm,Phase A,Phase A
PatientDemographics.Confirm,ProcedureSetup.SelectProtocol,Phase A,Phase A
ProcedureSetup.SelectProtocol,PatientDemographics.Confirm,Phase A,Phase A
PatientDemographics.Confirm,ProcedureSetup.ConfirmProtocol,Phase A,Phase A
ProcedureSetup.ConfirmProtocol,ProcedureSetup.ConfirmProtocol,Phase A,Phase A
ProcedureSetup.ConfirmProtocol,ProcedureSetup.SelectProtocol,Phase A,Phase A
ProcedureSetup.SelectProtocol,SystemCheck.Confirm,Phase A,Phase A
SystemCheck.Confirm,CatheterConfig.Confirm,Phase A,Phase A
CatheterConfig.Confirm,CatheterConfig.Confirm,Phase A,Phase A
CatheterConfig.Confirm,ProcedureSetup.ConfirmProtocol,Phase A,Phase A
ProcedureSetup.ConfirmProtocol,ProcedureSetup.ConfirmProtocol,Phase A,Phase A
ProcedureSetup.ConfirmProtocol,SystemCheck.RunDiagnostics,Phase A,Phase A
SystemCheck.RunDiagnostics,AnatomyMap.ClearMark,Phase A,Phase B
AnatomyMap.ClearMark,Navigation.ForwardStep,Phase B,Phase B
Navigation.ForwardStep,SegmentationTool.Erase,Phase B,Phase B
SegmentationTool.Erase,SegmentationTool.Erase,Phase B,Phase B
SegmentationTool.Erase,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,SegmentationTool.Draw,Phase B,Phase B
SegmentationTool.Draw,AnatomyMap.ClearMark,Phase B,Phase B
AnatomyMap.ClearMark,Navigation.ForwardStep,Phase B,Phase B
Navigation.ForwardStep,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,AnatomyMap.ClearMark,Phase B,Phase B
AnatomyMap.ClearMark,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,Navigation.ForwardStep,Phase B,Phase B
Navigation.ForwardStep,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,Navigation.BackStep,Phase B,Phase B
Navigation.BackStep,AnatomyMap.MarkPoint,Phase B,Phase B
AnatomyMap.MarkPoint,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,Navigation.BackStep,Phase B,Phase B
Navigation.BackStep,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,EnergyControl.SetPower,Phase B,Phase C
EnergyControl.SetPower,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,WaveformViewer.Pause,Phase C,Phase C
WaveformViewer.Pause,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,WaveformViewer.Pause,Phase C,Phase C
WaveformViewer.Pause,WaveformViewer.Resume,Phase C,Phase C
WaveformViewer.Resume,WaveformViewer.Pause,Phase C,Phase C
WaveformViewer.Pause,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,ContactSensor.Confirm,Phase C,Phase C
ContactSensor.Confirm,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,ContactSensor.Confirm,Phase C,Phase C
ContactSensor.Confirm,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,LesionMap.ReviewLesion,Phase C,Phase C
LesionMap.ReviewLesion,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,EnergyControl.SetPower,Phase C,Phase D
EnergyControl.SetPower,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,WaveformViewer.SelectChannel,Phase D,Phase D
WaveformViewer.SelectChannel,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,ContactSensor.CheckForce,Phase D,Phase D
ContactSensor.CheckForce,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,WaveformViewer.SelectChannel,Phase D,Phase D
WaveformViewer.SelectChannel,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,ValidationPanel.ReviewResult,Phase D,Phase E
ValidationPanel.ReviewResult,OutcomeTracker.ExportData,Phase E,Phase E
OutcomeTracker.ExportData,OutcomeTracker.Summary,Phase E,Phase E
OutcomeTracker.Summary,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,LesionMap.FinalReview,Phase E,Phase E
LesionMap.FinalReview,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,LesionMap.ConfirmComplete,Phase E,Phase E
LesionMap.ConfirmComplete,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,LesionMap.ConfirmComplete,Phase E,Phase E
LesionMap.ConfirmComplete,LesionMap.ConfirmComplete,Phase E,Phase E
LesionMap.ConfirmComplete,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,OutcomeTracker.ExportData,Phase E,Phase E
OutcomeTracker.ExportData,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,OutcomeTracker.ExportData,Phase E,Phase E
OutcomeTracker.ExportData,OutcomeTracker.Summary,Phase E,Phase E
OutcomeTracker.Summary,LesionMap.FinalReview,Phase E,Phase E
LesionMap.FinalReview,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,WaveformViewer.FinalCapture,Phase E,Phase E
WaveformViewer.FinalCapture,LesionMap.ConfirmComplete,Phase E,Phase E
LesionMap.ConfirmComplete,OutcomeTracker.ExportData,Phase E,Phase E
OutcomeTracker.ExportData,OutcomeTracker.ExportData,Phase E,Phase E
OutcomeTracker.ExportData,ReportGenerator.Export,Phase E,Phase F
ReportGenerator.Export,SystemCheck.Shutdown,Phase F,Phase F
SystemCheck.Shutdown,PatientRecord.Save,Phase F,Phase F
PatientRecord.Save,ReportGenerator.Export,Phase F,Phase F
ReportGenerator.Export,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.Export,Phase F,Phase F
ReportGenerator.Export,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,PatientRecord.Save,Phase F,Phase F
PatientRecord.Save,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,PatientRecord.Close,Phase F,Phase F
PatientRecord.Close,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.Export,Phase F,Phase F
ReportGenerator.Export,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,PatientRecord.Save,Phase F,Phase F
PatientRecord.Save,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,PatientRecord.Close,Phase F,Phase F
PatientRecord.Close,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.Export,Phase F,Phase F
ReportGenerator.Export,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.OpenTemplate,Phase F,Phase F
ProcedureSetup.ConfirmProtocol,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,ProcedureSetup.SelectProtocol,Phase A,Phase A
ProcedureSetup.SelectProtocol,PatientDemographics.Confirm,Phase A,Phase A
PatientDemographics.Confirm,CatheterConfig.Confirm,Phase A,Phase A
CatheterConfig.Confirm,ProcedureSetup.ConfirmProtocol,Phase A,Phase A
ProcedureSetup.ConfirmProtocol,ProcedureSetup.SelectProtocol,Phase A,Phase A
ProcedureSetup.SelectProtocol,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,CatheterConfig.SelectType,Phase A,Phase A
CatheterConfig.SelectType,ProcedureSetup.SelectProtocol,Phase A,Phase A
ProcedureSetup.SelectProtocol,SystemCheck.RunDiagnostics,Phase A,Phase A
SystemCheck.RunDiagnostics,SystemCheck.RunDiagnostics,Phase A,Phase A
SystemCheck.RunDiagnostics,ProcedureSetup.ConfirmProtocol,Phase A,Phase A
ProcedureSetup.ConfirmProtocol,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,ProcedureSetup.SelectProtocol,Phase A,Phase A
ProcedureSetup.SelectProtocol,ProcedureSetup.ConfirmProtocol,Phase A,Phase A
ProcedureSetup.ConfirmProtocol,ImagingPanel.Pan,Phase A,Phase B
ImagingPanel.Pan,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,AnatomyMap.MarkPoint,Phase B,Phase B
AnatomyMap.MarkPoint,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,Navigation.ForwardStep,Phase B,Phase B
Navigation.ForwardStep,AnatomyMap.ClearMark,Phase B,Phase B
AnatomyMap.ClearMark,Navigation.BackStep,Phase B,Phase B
Navigation.BackStep,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,AnatomyMap.ClearMark,Phase B,Phase B
AnatomyMap.ClearMark,Navigation.ForwardStep,Phase B,Phase B
Navigation.ForwardStep,AnatomyMap.MarkPoint,Phase B,Phase B
AnatomyMap.MarkPoint,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,SegmentationTool.Draw,Phase B,Phase B
SegmentationTool.Draw,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,SegmentationTool.Draw,Phase B,Phase B
SegmentationTool.Draw,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,Navigation.ForwardStep,Phase B,Phase B
Navigation.ForwardStep,SegmentationTool.Draw,Phase B,Phase B
SegmentationTool.Draw,SegmentationTool.Draw,Phase B,Phase B
SegmentationTool.Draw,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Rotate,Phase B,Phase B
